"dxhy.name","force.mean","torque.mean","force.median","torque.median","force.sd","torque.sd","force.max","torque.max","force.skewness","torque.skewness","force.kurtosis","torque.kurtosis","force.IQR","torque.IQR","force.coefficient_of_variation","torque.coefficient_of_variation","spearman.correlation","pearson.correlation","spectral_density.df","spectral_density.bandwidth","dual.gini","force.gini","torque.gini","force.autocorr.mean","force.autocorr.sd","torque.autocorr.mean","torque.autocorr.sd"
"d11h20",295.036499415179,22.5063329955357,313.90125,27.2599,176.930510342428,15.580327964866,531.323,531.323,-0.298795954785874,-0.295782884832401,1.70542660737897,1.4652585891212,314.2828,30.99982225,59.969024406519,69.2264171509259,0.961484594455379,0.955073906869718,1.78362786918546,0.00128300059819917,0.60719040076218,0.341699928191515,0.388600101591815,0.815847956765496,0.121642006237354,0.807650694303381,0.136745181972831
"d11h21",302.454204478261,21.9539007521739,311.15895,26.096365,177.056012482878,15.7503909939101,524.0301,524.0301,-0.306663646658966,-0.260117717810817,1.65555383790554,1.40693365071112,345.15375,32.99445025,58.5397755631479,71.7430181164981,0.941889328720649,0.943297703779693,1.7169408897014,0.00120281306081172,0.603945890025051,0.331938009982548,0.401275807981097,0.806011850248016,0.127271872533109,0.820730924633498,0.129471927995034
"d11h22",287.261207069106,24.9490484065041,276.9092,27.09368,195.890179243168,16.4326292749548,541.5331,541.5331,-0.154107651795432,-0.234391689950407,1.52191089130502,1.50297401296063,385.565525,31.914025,68.1923540048494,65.8647536659994,0.918347462841226,0.920329974837149,1.76292504570384,0.00115470053837925,0.624413584385036,0.387520601586477,0.372494855713263,0.840143222096755,0.10944513700026,0.825637808202662,0.119750304003429
"d11h23",441.113526969529,50.5360644238227,502.1514,57.51173,164.687033378948,22.2078201310402,726.5717,726.5717,-0.828885087903317,-1.05343771132329,2.97966139518464,3.12160459869531,240.2484,21.94089,37.3343874785151,43.9444986154708,0.449231646864625,0.725049476484738,1.72470444850701,0.000769800358919501,0.504101623501055,0.204994062540466,0.231989485871275,0.627214729017522,0.203256221797529,0.752882671456005,0.139678854526509
"d12h1",249.917607544118,16.2470806960784,297.88885,19.61383,125.788989912959,10.0034014673933,413.8214,413.8214,-0.780575085642944,-0.493142070670201,2.26832191514765,1.84824541953055,180.86755,16.45567075,50.3321839341605,61.5704547451887,0.880871680287288,0.857767496934556,1.69205768840138,0.00133645895645747,0.582171892943123,0.275032222141273,0.344508026479015,0.711114440150993,0.186059271226853,0.712718113984712,0.198231015572498
"d12h2",265.187650699029,19.0070482912621,312.5301,22.93821,142.75303635207,12.0811364390192,453.6892,453.6892,-0.590326764042457,-0.430536658173148,1.97919314848565,1.66525581334285,239.75885,22.5226555,53.8309517716139,63.5613497366295,0.900022754352896,0.887106509084845,1.70864648926806,0.00133645895645747,0.589871018865545,0.300763217753804,0.355800755490325,0.746737772034945,0.16450278393175,0.741070166759941,0.174107770519681
"d12h3",266.959919156098,18.5954330634146,309.1022,23.27064,142.48463530031,11.6696827992253,435.1791,435.1791,-0.621488250622819,-0.503859119024284,1.99094686871467,1.68262854442303,246.6465,21.608457,53.3730440699587,62.7556387604905,0.928206250719112,0.891557716203008,1.70035208883472,0.00133645895645747,0.5895033287444,0.296869076804061,0.348315742611658,0.747609258159732,0.163347685730345,0.743464944909667,0.177087150545707
"d12h4",268.2590417343,18.9891016763285,309.1022,23.60308,145.734584911025,12.1303627869341,452.2653,452.2653,-0.58469596490094,-0.462540974959302,1.94437184694246,1.62213666688411,254.1849,24.1017415,54.3260663159193,63.880656355933,0.921493449216325,0.897447400375151,1.7169408897014,0.00133645895645747,0.591841996987637,0.303285077447256,0.355179507286819,0.761739604424454,0.153749831312473,0.758632824515222,0.1699862304042
"d12h5",265.640944149038,18.7172049855769,318.0147,23.104425,146.15544621167,11.9482022493066,446.5699,446.5699,-0.560417742120107,-0.45752682790936,1.91699557680745,1.61837019799802,257.137275,23.1044245,55.0199242364042,63.8353977450887,0.934505028638295,0.900627463160975,1.72523529013474,0.00133645895645747,0.594387479215505,0.307633693469852,0.355140710662388,0.764583287645465,0.152668007636568,0.759714723678401,0.169855324691284
"d12h6",259.587540708134,18.2427206602871,304.9888,21.60845,144.79030952897,11.8066888428478,439.4507,439.4507,-0.523524244021519,-0.417732802517185,1.87797555785838,1.61007939544149,260.7239,22.938203,55.7770643128685,64.7200001727262,0.928516275781265,0.908299341589876,1.73352969056808,0.00133645895645747,0.597476681820856,0.313002502099494,0.362187063181438,0.77003708169521,0.150731254474262,0.765576792524837,0.165627157979966
